2023-07-25 21:07:42 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 21:07:324 INFO  BuildYourOwnComputerPage :43 - Click on build your onw comupter:[[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-07-25 21:07:468 INFO  BuildYourOwnComputerPage :48 - Select Process:[[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //select[@id='product_attribute_1']]
2023-07-25 21:07:647 INFO  BuildYourOwnComputerPage :52 - Select Ram:[[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //select[@id='product_attribute_2']]
2023-07-25 21:07:795 INFO  BuildYourOwnComputerPage :57 - Select HDD:[[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //input[@name='product_attribute_3']]
2023-07-25 21:07:935 INFO  BuildYourOwnComputerPage :61 - Select OS:[[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //input[@name='product_attribute_4']]
2023-07-25 21:07:64 INFO  BuildYourOwnComputerPage :65 - Click on total Commander:[[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //input[@name='product_attribute_5']]
2023-07-25 21:07:180 INFO  BuildYourOwnComputerPage :69 - Click on Add to cart:[[ChromeDriver: chrome on windows (a6e0eadb3a48887f7dddc7dcbd685e63)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-07-25 21:07:849 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (fe17be911bd0d7fbcbe9b907bddde2c3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (fe17be911bd0d7fbcbe9b907bddde2c3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (fe17be911bd0d7fbcbe9b907bddde2c3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (fe17be911bd0d7fbcbe9b907bddde2c3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (fe17be911bd0d7fbcbe9b907bddde2c3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (fe17be911bd0d7fbcbe9b907bddde2c3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (fe17be911bd0d7fbcbe9b907bddde2c3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 21:07:138 INFO  BuildYourOwnComputerPage :43 - Click on build your onw comupter:[[ChromeDriver: chrome on windows (fe17be911bd0d7fbcbe9b907bddde2c3)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
